               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.019898,            0.010142,                   0,             0.73086,             0.67053,             0.74835,             0.55746,            0.034426,            0.012791,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020108,            0.010562,                   0,             0.68116,             0.76487,             0.75707,             0.57153,            0.034875,              0.0121,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019232,            0.009986,                   0,             0.65833,             0.82716,             0.76171,             0.58261,            0.034779,            0.012111,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019945,            0.010563,                   0,             0.68676,             0.83908,             0.75247,              0.5841,            0.033647,            0.012375,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018147,           0.0089651,                   0,             0.67265,             0.80247,             0.74226,             0.58229,            0.034063,            0.012598,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018908,            0.010031,                   0,             0.63381,             0.81203,             0.75111,             0.57234,            0.034101,            0.013242,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018005,           0.0092558,                   0,             0.65317,             0.81375,             0.76166,             0.57672,            0.034585,            0.012569,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019073,           0.0096557,                   0,             0.68017,             0.82716,             0.77147,             0.58124,            0.035012,            0.012375,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018701,           0.0091078,                   0,              0.7395,             0.70096,             0.72964,             0.56362,            0.035073,            0.013557,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01752,           0.0096905,                   0,             0.74518,             0.67901,             0.72217,              0.5519,            0.034026,            0.013488,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017514,           0.0094714,                   0,              0.6838,             0.79012,             0.73163,             0.58296,            0.034236,            0.013143,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018256,           0.0099389,                   0,             0.68168,             0.81962,              0.7432,             0.58625,            0.034406,            0.012489,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017531,           0.0095227,                   0,             0.69419,             0.80247,             0.74918,             0.57682,            0.033913,             0.01323,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016379,            0.008955,                   0,             0.68229,             0.80247,             0.73293,              0.5826,            0.033383,            0.013142,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018247,           0.0097036,                   0,             0.69456,             0.78608,             0.74313,             0.59537,            0.034075,             0.01322,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01664,           0.0090542,                   0,             0.65238,             0.79012,             0.73893,             0.59138,            0.034233,            0.013457,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017154,            0.009681,                   0,             0.62812,             0.81481,             0.73841,             0.58818,            0.034237,            0.013535,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.016794,           0.0086689,                   0,             0.67373,             0.82716,             0.76137,             0.59943,            0.034016,            0.013121,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.015898,           0.0087465,                   0,               0.665,             0.83327,             0.76068,             0.60477,            0.033643,            0.013043,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016886,           0.0083782,                   0,             0.65375,             0.81586,             0.74532,             0.60891,            0.033523,            0.013026,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01647,           0.0088094,                   0,             0.67892,             0.77778,             0.73666,             0.59888,            0.034124,            0.013087,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017006,            0.008671,                   0,             0.64662,             0.79012,               0.737,             0.59424,            0.034306,            0.013369,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016119,           0.0082583,                   0,             0.71557,             0.71605,             0.73836,             0.59487,            0.033509,            0.013442,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016204,           0.0087054,                   0,             0.65845,             0.80925,             0.74847,             0.60456,            0.033345,            0.013219,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.015681,           0.0091711,                   0,             0.68707,             0.76543,             0.73873,             0.59711,             0.03274,            0.012923,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016612,           0.0081664,                   0,             0.68303,             0.79811,             0.74559,             0.59873,            0.032895,            0.013121,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01612,           0.0086824,                   0,             0.68072,             0.78965,             0.74571,             0.59837,            0.032993,            0.013258,                   0,            0.000298,            0.000298,            0.000298
